tag_id,name,category,count
9999999,general,9,807858
9999998,sensitive,9,3771700
9999997,questionable,9,769899
9999996,explicit,9,560281
470575,1girl,0,4225150
212816,solo,0,3515897
13197,long_hair,0,2982517
8601,breasts,0,2323580
469576,looking_at_viewer,0,2089971
3389,blush,0,2040471
1815,smile,0,1903619
15080,short_hair,0,1568265
11906,open_mouth,0,1565950
16751,bangs,0,1516840
10959,blue_eyes,0,1225129
566835,multiple_girls,0,1120328
429,skirt,0,1100620
87788,blonde_hair,0,1098200
403247,large_breasts,0,1083979
412368,simple_background,0,1074818
16867,brown_hair,0,1072209
12590,shirt,0,1001030
13200,black_hair,0,981413
380350,hair_ornament,0,939495
8526,red_eyes,0,897316
1882,thighhighs,0,890813
5735,gloves,0,886283
383159,long_sleeves,0,883900
540830,1boy,0,881194
2373,hat,0,879697
515193,white_background,0,874291
2241,dress,0,838290
4563,bow,0,795194
464575,ribbon,0,793922
9294,navel,0,786293
375387,holding,0,732899
1821,2girls,0,729721
6126,animal_ears,0,722334
4607,cleavage,0,693321
658573,hair_between_eyes,0,692014
376054,bare_shoulders,0,656975
1709,twintails,0,648384
16578,brown_eyes,0,645874
16613,jewelry,0,644654
667868,medium_breasts,0,642525
12289,sitting,0,630993
417660,very_long_hair,0,622920
572080,closed_mouth,0,618062
464906,underwear,0,610036
8889,nipples,0,591774
16509,school_uniform,0,585679
10960,green_eyes,0,584783
10953,blue_hair,0,564360
15675,standing,0,551783
15654,purple_eyes,0,536623
466499,collarbone,0,520875
391,panties,0,506334
3843,jacket,0,493731
15674,tail,0,487490
1681,monochrome,0,478584
444,swimsuit,0,467619
608813,full_body,0,463008
465619,closed_eyes,0,455512
464561,hair_ribbon,0,449452
89189,yellow_eyes,0,447582
376766,white_shirt,0,435867
547463,upper_body,0,434670
2355,ponytail,0,431021
11449,weapon,0,430315
11429,pink_hair,0,427100
16442,purple_hair,0,426385
8101,ass,0,423113
4334,braid,0,417832
464559,flower,0,411874
63,comic,0,411524
3522,ahoge,0,408654
16581,white_hair,0,407226
472154,short_sleeves,0,389311
384553,:d,0,387533
622137,hetero,0,384576
374844,hair_bow,0,381335
513837,greyscale,0,377967
16580,grey_hair,0,375103
1300281,male_focus,0,371503
2750,heart,0,361897
2363,pantyhose,0,356177
484168,sidelocks,0,354421
6539,bikini,0,349809
3870,thighs,0,348316
2365,nude,0,341086
5403,red_hair,0,338682
390728,multicolored_hair,0,336863
660909,cowboy_shot,0,336374
4569,sweat,0,334084
383282,pleated_skirt,0,332323
2376,hairband,0,329485
13804,earrings,0,328755
465265,small_breasts,0,325542
5827,boots,0,320845
13879,outdoors,0,320641
301022,lying,0,312125
4352,censored,0,310189
194013,frills,0,305699
664375,parted_lips,0,304757
387884,detached_sleeves,0,297463
461042,one_eye_closed,0,294831
1575,food,0,294463
1707,japanese_clothes,0,289163
8388,green_hair,0,286703
568656,multiple_boys,0,286561
375669,open_clothes,0,286373
2866,wings,0,284183
384774,necktie,0,281254
2785,horns,0,279479
406,sky,0,279456
4190,penis,0,276603
8672,shoes,0,273266
6532,glasses,0,264431
3985,shorts,0,263445
11826,barefoot,0,260159
6054,teeth,0,259880
4378,pussy,0,254400
268819,serafuku,0,250901
400314,sleeveless,0,247486
931006,solo_focus,0,246572
431446,alternate_costume,0,245996
4025,choker,0,245304
435324,day,0,243849
10863,tongue,0,243841
15522,pointy_ears,0,237263
474820,black_gloves,0,236325
1731,socks,0,235479
2646,hairclip,0,224901
10228,elbow_gloves,0,224390
1793,fang,0,220644
9843,midriff,0,217384
2177,striped,0,215308
581144,puffy_sleeves,0,214965
2772,shiny,0,213040
478849,collared_shirt,0,210998
9864,belt,0,210075
410129,looking_back,0,208023
10926,pants,0,206605
401228,sword,0,203029
657955,artist_name,0,200583
455880,black_thighhighs,0,199445
464549,cloud,0,197453
375171,indoors,0,197331
1407561,virtual_youtuber,0,190790
72,cat_ears,0,189097
6010,tears,0,187990
474821,white_gloves,0,187659
539367,hand_up,0,184840
411263,signature,0,183546
400123,hair_flower,0,183132
71730,dark_skin,0,182935
399836,3girls,0,181979
16252,spread_legs,0,179394
1842,cum,0,177804
5948,hood,0,176872
449194,2boys,0,176291
2357,sex,0,176106
502710,tongue_out,0,174092
9168,miniskirt,0,173815
394970,wide_sleeves,0,172751
537684,blunt_bangs,0,172693
401481,on_back,0,172347
375020,fingerless_gloves,0,171771
11628,bowtie,0,171509
374628,black_skirt,0,171449
426781,medium_hair,0,170863
16750,pink_eyes,0,168674
5576,armpits,0,168191
389378,sailor_collar,0,166004
445,kimono,0,163145
632214,grey_background,0,159811
1573,water,0,158702
4068,necklace,0,156154
375229,off_shoulder,0,153621
467104,stomach,0,153138
4333,bag,0,151509
454933,hair_bun,0,151363
1747,chibi,0,151305
473983,clothes_lift,0,150801
1254363,twitter_username,0,150476
234192,from_behind,0,150284
656624,star_(symbol),0,150164
3198,scarf,0,149539
6346,cape,0,149374
102962,nail_polish,0,148880
659098,black_footwear,0,148127
670071,holding_weapon,0,147624
3796,bra,0,147612
14620,white_dress,0,147542
87676,orange_hair,0,147142
261,yuri,0,146254
125238,sweatdrop,0,145506
4659,armor,0,143723
465583,rabbit_ears,0,143630
4019,mole,0,143178
374791,white_panties,0,142500
399541,hair_over_one_eye,0,141370
384884,grin,0,140525
6107,blurry,0,140047
393959,huge_breasts,0,138103
641577,looking_at_another,0,137202
14599,:o,0,137129
4152,uniform,0,136675
13199,black_eyes,0,136390
273,apron,0,136126
510962,character_name,0,135131
6176,vest,0,133100
39127,black_dress,0,132376
682673,mosaic_censoring,0,131028
475187,arm_up,0,130488
10484,vaginal,0,130137
470807,red_bow,0,129853
9882,high_heels,0,129652
524070,shiny_hair,0,128887
52138,twin_braids,0,127920
399827,arms_up,0,126645
378032,flat_chest,0,126144
381629,side_ponytail,0,126049
4052,collar,0,125695
11904,bracelet,0,125557
2060,feet,0,125245
515329,covered_nipples,0,124425
511141,from_side,0,122971
560958,dated,0,122085
413564,two-tone_hair,0,121190
89368,aqua_eyes,0,120894
3477,sweater,0,120879
440465,speech_bubble,0,120449
375002,white_thighhighs,0,119709
590165,english_text,0,118831
6295,leotard,0,118770
379615,open_jacket,0,116898
1515536,official_alternate_costume,0,116756
390401,red_ribbon,0,116423
633894,dark-skinned_female,0,115383
652604,two_side_up,0,114391
464586,tree,0,113682
464553,cup,0,113550
490655,blue_sky,0,113376
1931,sketch,0,112175
684639,puffy_short_sleeves,0,111946
5501,lips,0,111075
428173,blue_skirt,0,110413
10644,zettai_ryouiki,0,109096
719985,streaked_hair,0,108228
5569,coat,0,108099
547860,black_jacket,0,107631
395321,crop_top,0,107314
754325,groin,0,107206
427008,fingernails,0,106798
4867,wet,0,105408
1445905,v-shaped_eyebrows,0,104747
389404,cat_tail,0,104720
438623,neckerchief,0,103697
95405,orange_eyes,0,103149
1486996,animal_ear_fluff,0,102828
431755,head_tilt,0,102674
451371,see-through,0,102344
391631,gradient,0,101686
451155,hand_on_hip,0,100931
589,gun,0,100672
4311,legs,0,100492
494251,one-piece_swimsuit,0,100304
494744,shiny_skin,0,100275
479939,sleeves_past_wrists,0,100013
551772,parted_bangs,0,99655
579466,looking_to_the_side,0,99629
464572,pillow,0,99176
412078,wrist_cuffs,0,98658
89228,grey_eyes,0,98579
10923,torn_clothes,0,98539
464535,book,0,98180
465277,plaid,0,97928
457408,black_pantyhose,0,97171
59,maid,0,97157
537200,symbol-shaped_pupils,0,96639
481846,hands_up,0,95746
379475,sash,0,95553
539584,fur_trim,0,95386
3314,kneehighs,0,95270
463173,maid_headdress,0,95208
7820,military,0,94582
16718,black_panties,0,94548
358,cosplay,0,94464
475418,bare_arms,0,93864
13132,petals,0,93775
12552,pubic_hair,0,93487
524961,black_shirt,0,93152
2335,fox_ears,0,92753
128,loli,0,92684
531371,gradient_background,0,92533
394174,short_shorts,0,92401
449676,ascot,0,90602
1594634,clothing_cutout,0,90293
822149,completely_nude,0,90178
375372,dutch_angle,0,89835
416202,eyelashes,0,88539
492223,bar_censor,0,88359
1277433,mole_under_eye,0,88173
1128907,pokemon_(creature),0,88046
542846,no_humans,0,87715
469714,bare_legs,0,87348
2813,window,0,87096
7577,open_shirt,0,86869
464579,sparkle,0,86798
8641,dress_shirt,0,86540
10447,kneeling,0,86034
407186,sleeveless_shirt,0,85905
389813,single_braid,0,85125
2687,v,0,84806
1390441,black_headwear,0,84355
382397,strapless,0,84204
412555,4girls,0,84095
6536,bell,0,83798
5126,hug,0,83531
390035,no_bra,0,83268
7926,saliva,0,83232
468554,double_bun,0,83167
474500,black_ribbon,0,82872
5032,uncensored,0,82813
94007,aqua_hair,0,82429
9344,bodysuit,0,81762
2508,blood,0,80986
2585,bed,0,80885
202817,hoodie,0,80505
387214,military_uniform,0,80184
6028,sideboob,0,80142
1247160,black_bow,0,79946
1269639,covered_navel,0,79696
464584,tattoo,0,79445
391128,gradient_hair,0,79377
444539,skindentation,0,79260
467863,neck_ribbon,0,79084
13853,pussy_juice,0,79048
1736,profile,0,78791
9312,makeup,0,78404
443395,thigh_strap,0,78303
427348,leaning_forward,0,78279
513475,multiple_views,0,78169
3918,4koma,0,77795
411323,capelet,0,77781
1797,mask,0,77477
465719,muscular,0,76977
2217,anus,0,76396
1595,no_panties,0,76376
10422,witch_hat,0,76061
600177,detached_collar,0,75584
28200,toes,0,75467
5565,:3,0,75433
675314,copyright_name,0,75245
442167,alternate_hairstyle,0,74848
626,underboob,0,74757
3472,night,0,74665
395400,buttons,0,74509
565513,floating_hair,0,74507
5832,fruit,0,74401
568880,sleeveless_dress,0,74380
460262,depth_of_field,0,74158
553142,blurry_background,0,73931
1393877,feet_out_of_frame,0,73883
381555,headband,0,73755
529256,fake_animal_ears,0,73059
402217,^_^,0,72948
377140,blue_dress,0,72944
4075,cameltoe,0,72587
465950,cum_in_pussy,0,72511
51528,fox_tail,0,72338
457597,swept_bangs,0,72173
13176,shadow,0,71857
374620,black_bikini,0,71747
503552,red_skirt,0,71298
420531,nose_blush,0,71248
4528,bottomless,0,71247
4320,glowing,0,71120
1231230,side-tie_bikini_bottom,0,71041
460802,rose,0,70153
478565,bed_sheet,0,69319
1094664,colored_skin,0,69055
4009,turtleneck,0,68964
464808,holding_hands,0,68738
458933,facial_hair,0,68495
464546,chain,0,68464
442865,headgear,0,68404
464534,bird,0,68263
4108,pov,0,67888
377844,siblings,0,67882
2279,headphones,0,67786
11325,ocean,0,67516
567316,6+girls,0,67320
479563,low_twintails,0,67147
3449,heterochromia,0,67128
394222,arm_support,0,66756
10701,animal,0,66577
546821,halterneck,0,66448
374938,frown,0,66197
4244,leaf,0,65930
258190,beret,0,65845
1345229,white_headwear,0,65590
1915,umbrella,0,65482
490999,on_bed,0,65478
653206,one_side_up,0,65367
144876,embarrassed,0,65057
395448,thigh_boots,0,64869
446950,fangs,0,64492
1875867,upper_teeth_only,0,64490
8714,watermark,0,64472
444002,from_above,0,64438
377124,back,0,64206
436054,highleg,0,64134
580545,blue_background,0,63957
1328533,ass_visible_through_thighs,0,63880
421663,wavy_hair,0,63724
469652,garter_straps,0,63656
1382794,black_choker,0,63389
4010,halo,0,63200
546609,blue_bow,0,62796
3988,scar,0,62791
426936,white_bikini,0,62532
